Query 31: [-93.7278, 38.2211, -89.2202, 39.3458]	Intersections (95) : 	[7946, 4892, 8475, 4490, 2460, 9987, 1192, 3181, 5690, 4656, 5477, 7442, 8587, 8910, 8719, 5080, 9746, 3185, 2249, 1902, 7641, 6490, 120, 6294, 7501, 5911, 9525, 1170, 8826, 1006, 4978, 1277, 1044, 9810, 3205, 9456, 3325, 863, 8842, 3507, 6842, 9974, 2333, 26, 2294, 3920, 2489, 3835, 8453, 1682, 2794, 8073, 4239, 1179, 666, 8594, 1506, 8855, 5001, 8567, 3051, 2345, 3085, 5200, 8236, 4809, 7684, 5292, 6742, 3044, 263, 9894, 8919, 2703, 8578, 83, 4727, 9919, 5499, 5346, 2297, 4568, 3174, 8207, 4852, 1679, 9914, 6902, 7601, 8866, 8970, 1440, 6530, 8086, 817]
Query 32: [-103.616, 42.3099, -98.858, 43.3756]	Intersections (19) : 	[6252, 779, 1618, 3717, 3819, 2455, 5643, 2934, 4227, 4833, 2048, 5425, 2377, 657, 5794, 6079, 1096, 5329, 1409]
Query 33: [-100.603, 35.6828, -94.3044, 36.4877]	Intersections (79) : 	[567, 9838, 635, 1380, 2514, 675, 9157, 352, 5033, 9075, 2015, 5370, 7021, 2082, 1137, 9532, 1509, 4730, 8740, 7315, 2248, 2490, 7336, 9604, 2300, 2605, 7240, 4828, 4547, 2135, 1722, 1426, 2367, 6319, 6793, 2648, 5914, 5479, 3308, 22, 7109, 3390, 8702, 517, 1866, 1763, 4141, 5856, 5610, 4205, 1651, 5099, 3135, 6402, 6221, 9294, 3966, 9775, 2874, 6382, 528, 3152, 2564, 2390, 9355, 4648, 7644, 5974, 8880, 2281, 5738, 9201, 7056, 4203, 768, 6720, 9517, 6680, 6424]
Query 34: [-90.4108, 42.6843, -84.9057, 43.6052]	Intersections (90) : 	[7827, 2570, 3118, 5326, 9360, 1821, 8092, 5628, 9161, 3586, 2719, 1157, 7705, 7773, 5654, 105, 3230, 4556, 211, 6725, 7136, 8331, 4402, 4561, 8026, 1062, 993, 3539, 1996, 4528, 3753, 313, 8907, 9895, 5336, 2420, 4665, 9227, 2661, 2336, 611, 9164, 3403, 4504, 8965, 9735, 627, 6045, 2953, 95, 7995, 7208, 7157, 3296, 7018, 8479, 3258, 4255, 8108, 5140, 3850, 3127, 6684, 3579, 9376, 58, 1191, 7277, 6109, 8032, 387, 2996, 6828, 4031, 1442, 264, 4375, 7861, 9020, 9069, 8891, 4204, 6494, 6313, 8877, 3489, 5123, 4794, 5631, 8824]
Query 35: [-109.688, 45.332, -89.8773, 45.5879]	Intersections (51) : 	[3895, 5325, 4659, 488, 3120, 108, 8608, 4803, 9865, 9555, 2042, 8846, 7625, 6905, 5790, 4388, 8596, 7064, 5737, 8816, 6267, 4111, 3547, 9190, 6744, 9742, 2720, 6567, 971, 9645, 8827, 6349, 9571, 2778, 8424, 7283, 1107, 7010, 9615, 9949, 7422, 4087, 4916, 8498, 2837, 7048, 1259, 6512, 8636, 892, 9530]
Query 36: [-98.5319, 35.73, -92.8144, 36.6167]	Intersections (97) : 	[3797, 7915, 567, 4282, 9838, 635, 1380, 4569, 2514, 7610, 675, 9157, 352, 5033, 5041, 5098, 9075, 2015, 6990, 4189, 7021, 2082, 1137, 9532, 1509, 7391, 4730, 7315, 2248, 2490, 9644, 7336, 9604, 2300, 2037, 2605, 7240, 4828, 4547, 1722, 1426, 2367, 4310, 6890, 1542, 6319, 6584, 6793, 8799, 2648, 5914, 5479, 5600, 3308, 22, 3463, 7109, 3390, 6454, 517, 1866, 4141, 5610, 4702, 1651, 4187, 5099, 3135, 6402, 6221, 2782, 9294, 2874, 1023, 6382, 6551, 3152, 3953, 2564, 4648, 7644, 5974, 8880, 2281, 5738, 7056, 4203, 768, 8442, 4278, 5247, 6720, 9517, 1436, 6680, 3936, 6424]
Query 37: [-91.6899, 36.0099, -85.1558, 36.7858]	Intersections (111) : 	[445, 2233, 2189, 3483, 6578, 3142, 3892, 9016, 5801, 5860, 4631, 3330, 3098, 1174, 5806, 2501, 7851, 9539, 7274, 3767, 2940, 2813, 4463, 9781, 3078, 1773, 3842, 8282, 2543, 7835, 3405, 4827, 8823, 4673, 3922, 9182, 6513, 1951, 7398, 678, 9494, 6761, 8192, 208, 5387, 3261, 6020, 1229, 57, 194, 578, 1290, 5895, 6185, 3906, 4224, 5732, 5982, 177, 2211, 9944, 870, 1195, 9059, 9575, 9176, 4196, 3841, 4823, 9483, 1712, 648, 5846, 7257, 4238, 1274, 5995, 9684, 783, 167, 4407, 2360, 4082, 171, 8871, 4989, 3849, 6127, 9012, 7676, 4272, 3973, 6718, 5814, 2917, 1896, 9780, 8785, 6304, 9245, 438, 8738, 9891, 4855, 9072, 480, 2505, 2919, 6868, 8653, 1423]
Query 38: [-116.607, 36.1205, -110.346, 36.9303]	Intersections (9) : 	[5181, 628, 3935, 4663, 5650, 6693, 2520, 117, 4725]
Query 39: [-109.884, 36.4607, -95.0936, 36.8035]	Intersections (21) : 	[5367, 3437, 4282, 6335, 33, 8825, 9565, 5813, 6584, 8799, 4702, 8776, 8161, 1023, 6551, 8651, 5258, 3123, 3158, 1587, 8279]
Query 40: [-91.0086, 43.5069, -85.5537, 44.4364]	Intersections (97) : 	[8493, 8505, 828, 3917, 8772, 2182, 2570, 3639, 4072, 1356, 850, 3955, 8215, 1990, 51, 8309, 1821, 5628, 6555, 9588, 9113, 7783, 8055, 44, 9195, 2719, 3918, 7481, 6302, 5654, 6191, 1892, 6854, 3643, 4616, 159, 7482, 5115, 4528, 8464, 1596, 5568, 2594, 643, 3459, 3061, 6392, 4285, 2987, 5768, 184, 9164, 3177, 8965, 9704, 5394, 9708, 193, 6244, 1374, 7330, 3925, 95, 8808, 9519, 1705, 6599, 3291, 1273, 8230, 1970, 7270, 7018, 9822, 8993, 9997, 4633, 8382, 5641, 1808, 5192, 3143, 8249, 3146, 523, 7701, 2663, 4191, 4886, 2339, 8894, 7757, 9020, 6972, 2302, 9854, 9579]
